,mean,std,min,25%,50%,75%,max,skewness,kurtosis
PV1MATH,546.9198993580001,102.81002175930105,138.916,477.404,551.326,620.228,943.041,-0.15929723950876765,-0.24365026472474272
PV2MATH,546.6969756846446,103.24285179357354,93.253,477.387,551.142,619.6105,933.836,-0.16087869695672743,-0.2342708562738154
PV3MATH,547.2033265825139,103.19876132695374,131.723,477.109,551.86,620.2685,946.788,-0.14838051458542864,-0.24263990478957087
PV4MATH,546.4784629531991,103.29128841281934,137.587,476.095,551.576,619.5345,911.464,-0.16941856477535713,-0.25413341827450164
PV5MATH,546.7771711999504,103.05394804134224,128.14,477.1165,551.643,618.9205,889.072,-0.16019462291779824,-0.22663279285986482
PV6MATH,546.9567175510963,102.64721679885876,131.925,477.23900000000003,551.385,619.942,909.524,-0.16232957284597024,-0.2423753417645802
PV7MATH,546.5900732872251,102.84544302613891,158.369,477.10450000000003,551.563,619.3415,928.84,-0.1533005215955323,-0.24912334093650745
PV8MATH,546.9696823806718,102.91740844626379,170.936,476.804,551.344,620.523,912.729,-0.15379705548400463,-0.25824325503526957
PV9MATH,546.8123726700369,103.26340790979592,180.343,477.08950000000004,551.603,619.6425,903.018,-0.1575043395643875,-0.25136640493722195
PV10MATH,546.8153513941011,103.10564399367522,155.979,476.986,551.551,619.7835,915.063,-0.16561262916390138,-0.2409166068553117
ST268Q01JA,2.4134850975405513,0.9968845564653374,1.0,2.0,2.0,3.0,4.0,0.0604479489492272,-1.0591664971811305
ST268Q04JA,2.1717582110845766,0.9350670138000431,1.0,1.0,2.0,3.0,4.0,0.3407085244755639,-0.8002335094315982
ST268Q07JA,3.363210619359241,0.7895524702656858,1.0,3.0,4.0,4.0,4.0,-1.2662084801290616,1.293497507444596
SC064Q01TA,33.626058369258445,29.513919962474237,0.0,10.0,24.0,50.0,100.0,0.8186865165078981,-0.5040496565112078
SC064Q02TA,60.84173308935273,34.98185186353898,0.0,25.0,70.0,100.0,100.0,-0.31925562345026015,-1.4198931459741346
SC064Q03TA,20.891455788484592,28.332633777441515,0.0,2.0,10.0,25.0,100.0,1.6464384129459468,1.482157798435471
SC064Q04NA,17.59835525174364,25.715010781917933,0.0,0.0,7.0,20.0,100.0,1.864413943693797,2.4899607318273036
SC064Q05WA,32.62770213689793,30.364329785236453,0.0,10.0,20.0,50.0,100.0,0.9035297182190454,-0.4479226007575381
SC064Q06WA,57.032131005179416,36.921515879651984,0.0,20.0,68.0,95.0,100.0,-0.23161172638422872,-1.524988989096078
MISCED,6.069041198971593,2.129695406257312,1.0,4.0,6.0,8.0,10.0,-0.22165830293127145,-0.8761511812760463
ESCS,-0.06325949690233801,0.9085308474813618,-6.0153,-0.7188,0.0096,0.6595,7.38,-0.3111815167060577,0.0026090258580380166
ESCS_z,0.02079886349231559,0.9881061482004548,-6.452561762349924,-0.6921583281109198,0.1000398898631556,0.8068625448073505,8.115989568276287,-0.3111815167060575,0.0026090258580380166
ST001D01T,9.816673386471482,0.44110196592250933,7.0,10.0,10.0,10.0,12.0,-2.4590079552629165,6.831072237994985
SCHSIZE,1069.2833416118217,779.8734676008229,13.0,629.0,899.0,1255.25,8118.0,2.783761801825428,13.112674604465806
SCHSIZE_z,0.007400385633420149,1.0053050077788832,-1.3542140006368693,-0.5601520014552748,-0.2121053459698356,0.24712288001789667,9.093630972361222,2.783761801825428,13.112674604465806
