Overall_Rank,Technique,Distribution_Score,Distribution_Rank,Path_Score,Path_Rank,LatentCorr_Score,LatentCorr_Rank,Covariate_Score,Covariate_Rank,Loading_Score,Loading_Rank,Reliability_Score,Reliability_Rank,HTMT_Score,HTMT_Rank,Fit_Score,Fit_Rank,Privacy_Score,Privacy_Rank,Overall_Score
1,TabSyn,-0.100,1,1.872,1,-0.029,2,-0.025,2,-0.028,3,-0.032,4,0,1,0,9,154.773,5,0.594
2,TabDiff,-0.270,2,1.707,3,-0.017,1,-0.016,1,-0.111,10,-0.074,12,0,1,1,6,417.707,1,0.578
3,TapTap_GPT2,-0.579,9,1.665,4,-0.031,3,-0.032,4,-0.026,2,-0.022,2,0,1,4,1,147.259,7,0.561
4,TapTap_DistilGPT2,-0.581,10,1.468,6,-0.033,4,-0.033,5,-0.046,4,-0.017,1,0,1,4,1,146.630,8,0.523
5,GReaT_DistilGPT2,-0.410,3,1.721,2,-0.052,9,-0.040,6,-0.025,1,-0.025,3,0,1,0,9,138.465,11,0.468
6,CTGAN,-0.472,5,0.963,11,-0.044,6,-0.031,3,-0.084,7,-0.059,10,0,1,2,5,291.145,2,0.398
7,GReaT_GPT2,-0.470,4,1.502,5,-0.045,7,-0.048,8,-0.090,8,-0.036,5,0,1,1,6,139.639,9,0.370
8,Tabula_GPT2,-0.500,7,1.354,7,-0.034,5,-0.047,7,-0.098,9,-0.044,7,0,1,0,9,136.769,12,0.314
9,Tabula_DistilGPT2,-0.480,6,1.121,8,-0.053,10,-0.050,9,-0.053,5,-0.056,9,0,1,1,6,139.453,10,0.310
10,PredLLM_DistilGPT2,-0.621,11,0.791,12,-0.052,8,-0.051,10,-0.116,11,-0.047,8,0,1,4,1,164.803,3,0.279
11,PredLLM_GPT2,-0.561,8,1.089,9,-0.075,11,-0.058,11,-0.156,12,-0.038,6,0,1,4,1,154.485,6,0.263
12,REaLTabFormer,-0.711,12,0.980,10,-0.087,12,-0.072,12,-0.058,6,-0.068,11,0,1,0,9,155.764,4,0.135
