CTGAN,GReaT_DistilGPT2,GReaT_GPT2,PredLLM_DistilGPT2,PredLLM_GPT2,REaLTabFormer,TabDiff,TabSyn,Tabula_DistilGPT2,Tabula_GPT2,TapTap_DistilGPT2,TapTap_GPT2
0.030,0.050,0.090,0.080,0.090,0.070,0.030,0.050,0.050,0.070,0.080,0.080
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.030,0.040,0.020,0.010,0.020,0.060,0.010,0.020,0.010,0.020,0.030,0.020
0.010,0.030,0.030,0.080,0.080,0.030,0.010,0.020,0.050,0.020,0.020,0.030
0.070,0.040,0.040,0.020,0.030,0.090,0.040,0.000,0.020,0.010,0.010,0.020
0.030,0.020,0.070,0.060,0.070,0.060,0.010,0.020,0.050,0.020,0.030,0.040
0.040,0.030,0.050,0.020,0.030,0.020,0.020,0.020,0.050,0.080,0.020,0.010
0.010,0.040,0.020,0.020,0.020,0.060,0.020,0.030,0.080,0.040,0.010,0.010
0.040,0.070,0.050,0.050,0.050,0.090,0.020,0.030,0.090,0.090,0.010,0.020
0.030,0.050,0.060,0.060,0.100,0.130,0.020,0.030,0.050,0.040,0.060,0.060
0.020,0.050,0.050,0.130,0.120,0.130,0.010,0.040,0.070,0.080,0.070,0.040
